Image Path,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
Images/0030.png,"A tall tower in the shape of A, I have all my bestfriends in this place",france,Sunny,Evening,Spring,Sightseeing,Romance
Images/0031.png,Wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world,Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
Images/0032.png,Snowy lakeside village that brings inner peace to the visitor,Austria,Cloudy,Afternoon,Winter,Relaxing,Melancholy
Images/0033.png,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Brazil,Sunny,Afternoon,Summer,Sightseeing,Happiness
Images/0034.png,"Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie",China,Cloudy,Afternoon,Spring,Sightseeing,Excitement
Images/0035.png,Lantern-lit city at night with warm colors,Vietnam,Not Clear,Evening,Spring,Water Activities,Romance
Images/0036.png,Shibuya Crossing at night with neon light everywhere,Japan,Not Clear,Evening,Fall,Sightseeing,Excitement
Images/0037.png,Horseshoe falls with huge mist cloud and strong water flow,Canada,Sunny,Afternoon,Winter,Sightseeing,Adventure
Images/0038.png,Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle,France,Cloudy,Evening,Fall,Relaxing,Adventure
Images/0039.png,A dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise,Portugal,Sunny,Morning,Spring,Hiking,Excitement
Images/0040.png,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Switzerland,Sunny,Afternoon,Summer,Water Activities,Romance
Images/0041.png,"A Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0042.png,"The Maiden’s Tower in Istanbul, illuminated warmly as the city skyline glows behind it. The vibrant sky blends orange and blue, creating a magical atmosphere over the Bosphorus",Turkey,Not Clear,Evening,Fall,Sightseeing,Romance
Images/0043.png,"Trekkers hiking through the rocky trails of the Everest region in the Himalayas, surrounded by dramatic mountain landscapes and clear blue skies. The snowy peaks create a breathtaking, adventurous atmosphere",Nepal,Sunny,Morning,Fall,Adventure/Sports,Adventure
Images/0044.png,"A stunning alpine landscape in Switzerland with bright green hills, a peaceful lake, wooden cabins, and towering snow-covered peaks under a clear blue sky. A postcard-perfect mountain view",Switzerland,Sunny,Afternoon,Summer,Hiking,Happiness
Images/0045.png,"A vibrant night scene in Kabukichō, Tokyo, filled with colorful neon lights, busy crosswalks, and lively crowds. The illuminated buildings highlight the energetic nightlife of Japan's capital",Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
Images/0046.png,"A peaceful desert highway in Texas leading toward rugged, sunlit mountains. The warm evening light casts dramatic shadows across the rocky landscape, capturing the quiet beauty of the American Southwest",United States,Sunny,Evening,Fall,Relaxing,Nostalgia
Images/0047.png,A breathtaking sunset scene at the Pyramids of Giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows. The silhouettes of the ancient pyramids create a timeless and adventurous atmosphere,Egypt,Sunny,Evening,Not Clear,Sightseeing,Adventure
Images/0048.png,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris",France,Sunny,Evening,Fall,Sightseeing,Romance
Images/0049.png,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irmãos mountains create a perfect blend of nature, surf culture, and Brazilian energy",Brazil,Sunny,Evening,Summer,Relaxing,Happiness
Images/0050.png,The Great Wall of China winding across lush green mountains under a dramatic cloudy sky. The ancient stone towers and pathways highlight the vast scale and historical significance of this landmark,China,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
Images/0051.png,Eiffel Tower in Paris during sunset with colorful sky,France,Sunny,Evening,Summer,Sightseeing,Romance
Images/0052.png,White houses and blue domes in Santorini on a bright day,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0053.png,Shibuya crossing in Tokyo full of people and bright neon lights,Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
Images/0054.png,Turquoise water and overwater bungalows in the Maldives,Maldives,Sunny,Afternoon,Summer,Relaxing,Romance
Images/0055.png,The ancient rock-carved facade of Petra between high cliffs,Jordan,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0056.png,Times Square in New York with colorful billboards and crowds,United States,Sunny,Evening,Spring,Sightseeing,Excitement
Images/0057.png,Snow-covered peaks of the Swiss Alps with a valley below,Switzerland,Snowy,Afternoon,Winter,Sightseeing,Adventure
Images/0058.png,Green rice terraces in Bali surrounded by tropical trees,Indonesia,Sunny,Morning,Spring,Sightseeing,Happiness
Images/0059.png,The Great Pyramids of Giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
Images/0060.png,Hot air balloons flying over the rocky valleys of Cappadocia,Turkey,Sunny,Morning,Summer,Sightseeing,Adventure
Images/0061.png,The Eiffel Tower with surrounding buildings,France,Sunny,Evening,Summer,Relaxing,Happiness
Images/0062.png,A traditional Japanese house surrounded by colorful autumn trees,Japan,Sunny,Afternoon,Fall,Relaxing,Curiosity
Images/0063.png,Fishing boats docked in a scenic harbor in Cape Town,South Africa,Sunny,Afternoon,Summer,Water Activities,Adventure
Images/0064.png,A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco,Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
Images/0065.png,A woman sitting on a log near a snow-covered body of water in Canada,Canada,Snowy,Morning,Winter,Relaxing,Adventure
Images/0066.png,Stands of the Spotify Camp Nou Stadium in Barcelona,Spain,Sunny,Afternoon,Spring,Adventure/Sports,Excitement
Images/0067.png,A portrait of a kangaroo in an Australian animal park,Australia,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0068.png,A massive iceberg floating in Greenland’s icy waters,Greenland,Snowy,Morning,Winter,Sightseeing,Adventure
Images/0069.png,A red hammock tied between two trees in the Maldives,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
Images/0070.png,A man riding a horse in traditional clothing in Tunisia,Tunisia,Cloudy,Afternoon,Fall,Sightseeing,Curiosity
Images/0071.png,"Alhambra Palace, A historic Moorish palace in Granada famous for its intricate carvings, gardens, and Islamic architectural beauty",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0072.png,"Vatican City, St. Peter’s Basilica glowing beautifully over the river at sunset",Italy,Not Clear,Evening,Summer,Water Activities,Excitement
Images/0073.png,"Dome of the Rock, A golden-domed Islamic shrine in Jerusalem known for its striking architecture and sacred significance",Palestine,Not Clear,Evening,Spring,Religious,Happiness
Images/0074.png,"Umayyad Mosque, A stunning view of the courtyard with golden mosaics and ancient architecture",Syria,Cloudy,Morning,Fall,Religious,Nostalgia
Images/0075.png,"Giza Pyramids, Camels crossing the desert in front of the iconic Great Pyramid",Egypt,Cloudy,Afternoon,Spring,Sightseeing,Adventure
Images/0076.png,"Santorini, White cliffside houses overlooking the blue sea with pink bougainvillea trees",Greece,Sunny,Morning,Spring,Relaxing,Romance
Images/0077.png,"A traditional market in Fez, where colorful slippers and handmade crafts line the steps, showcasing the city’s rich heritage",Morocco,Sunny,Afternoon,Summer,Sightseeing,Excitement
Images/0078.png,"The Australian Alps, known for their high peaks and snowy landscapes, offer some of the country’s highest and most scenic mountain views",Australia,Snowy,Afternoon,Winter,Hiking,Adventure
Images/0079.png,"Central London, known for its historic streets and iconic red double-decker buses, is one of the city’s most recognizable and vibrant areas",United Kingdom,Rainy,Afternoon,Winter,Sightseeing,Romance
Images/0080.png,"The famous Berlin Cathedral, illuminated beautifully at night, reflected on the waters of the Spree River amid a calm and charming atmosphere",Germany,Cloudy,Evening,Summer,Religious,Curiosity
Images/0081.png,The Eiffel Tower hidden between the trees,France,Cloudy,Evening,Fall,Sightseeing,Romance
Images/0082.png,Santorini’s iconic blue-domed building overlooking the sea,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0083.png,Cherry blossoms surrounding a traditional temple in Kyoto,Japan,Sunny,Morning,Spring,Religious,Curiosity
Images/0084.png,Amalfi with boats floating in crystal blue water,Italy,Sunny,Afternoon,Summer,Water Activities,Romance
Images/0085.png,Hallstatt surrounded by mountains,Austria,Cloudy,Morning,Fall,Relaxing,Nostalgia
Images/0086.png,Aerial view of Bali’s lush green rice terraces,Indonesia,Sunny,Morning,Spring,Sightseeing,Adventure
Images/0087.png,Central Park during autumn with warm orange and yellow trees,United States,Cloudy,Afternoon,Fall,Sightseeing,Melancholy
Images/0088.png,"Chefchaouen, Morocco’s famous blue city",Morocco,Sunny,Morning,Summer,Sightseeing,Happiness
Images/0089.png,Colorful floral pathways inside Dubai Miracle Garden,United Arab Emirates,Sunny,Afternoon,Winter,Relaxing,Happiness
Images/0090.png,A peaceful lake view in Lucerne surrounded by green mountains,Switzerland,Sunny,Morning,Spring,Relaxing,Romance
Images/0091.png,The Eiffel Tower on a morning,France,Sunny,Morning,Fall,Sightseeing,Romance
Images/0092.png,The Grand Canyon during sunrise with beautiful colors on the rocks,United States,Sunny,Morning,Spring,Sightseeing,Adventure
Images/0093.png,"The Swiss Alps with a snowy mountain, blue lakes, and green valleys",Switzerland,Sunny,Morning,Summer,Hiking,Happiness
Images/0094.png,The Statue of Liberty on a sunny day with a beautiful view of the city behind it,United States,Sunny,Afternoon,Fall,Sightseeing,Curiosity
Images/0095.png,Beautiful overwater villas in the Maldives during sunset,Maldives,Sunny,Evening,Summer,Relaxing,Happiness
Images/0096.png,Shibuya Crossing at night with many people and bright lights,Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
Images/0097.png,"Oia in Santorini during sunset, with white houses and a beautiful sea view",Greece,Sunny,Evening,Summer,Relaxing,Romance
Images/0098.png,"The Dome of the Rock covered in snow, with people playing outside",Palestine,Snowy,Afternoon,Winter,Sightseeing,Happiness
Images/0099.png,Tower Bridge in London at night with bright lights,United Kingdom,Not Clear,Evening,Not Clear,Sightseeing,Curiosity
Images/0100.png,Stonehenge covered in snow,United Kingdom,Snowy,Morning,Winter,Sightseeing,Curiosity
Images/0101.png,"Swiss cows grazing in the Berner Oberland Alps, chosen for its peaceful nature and classic Swiss scenery",Switzerland,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0102.png,"Eiffel Tower in Paris at sunset, chosen because it's an iconic landmark and dream destination for many travelers",France,Sunny,Evening,Summer,Sightseeing,Romance
Images/0103.png,"Amsterdam canals with bicycles and Dutch houses, chosen for its beautiful city architecture and peaceful waterways",Netherlands,Sunny,Afternoon,Spring,Relaxing,Happiness
Images/0104.png,"Old Town Square in Prague at sunset, chosen for its magical medieval atmosphere and golden skyline",Czech Republic,Sunny,Evening,Fall,Sightseeing,Nostalgia
Images/0105.png,"Alhambra in Granada, a historic Islamic palace chosen for its architecture and cultural importance",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0106.png,"Lake Como overlooking the mountains, chosen for its peaceful water views and charming villages",Italy,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0107.png,"Hallstatt village covered in snow, chosen for its fairy-tale beauty and winter charm",Austria,Snowy,Morning,Winter,Sightseeing,Nostalgia
Images/0108.png,"Interlaken with mountains and lakes, chosen for its adventure atmosphere and natural beauty",Switzerland,Sunny,Afternoon,Summer,Sightseeing,Adventure
Images/0109.png,"Aerial view of Santiago Bernabéu Stadium in Madrid, chosen for its importance in football culture",Spain,Sunny,Afternoon,Spring,Adventure/Sports,Excitement
Images/0110.png,"Uzungöl Lake in Turkey surrounded by mountains and village homes, chosen for its peaceful natural scenery",Turkey,Cloudy,Morning,Fall,Relaxing,Happiness
Images/0111.png,Iguaçu Falls  massive waterfalls on the Brazil,Brazil,Sunny,Morning,Summer,Sightseeing,Adventure
Images/0112.png,"Pantanal Wetlands ""Vast wetland with rivers, lakes, and diverse wildlife""",Brazil,Sunny,Morning,Spring,Water Activities,Excitement
Images/0113.png,"Serra dos Órgãos National Park "" Mountainous park with jagged rock formations, rivers""",Brazil,Sunny,Morning,Summer,Sightseeing,Adventure
Images/0114.png,"Salvador  colorful historic streets of Pelourinho""",Brazil,Sunny,Morning,Summer,Sightseeing,Happiness
Images/0115.png,"Soca River Valley ""Stunning turquoise river flowing through mountains and forests""",Slovenia,Sunny,Afternoon,Winter,Water Activities,Adventure
Images/0116.png,"Iconic peaks, glaciers, rivers",Chile,Cloudy,Evening,Winter,Sightseeing,Adventure
Images/0117.png,"Mountains ""Matterhorn and alpine peaks""",Switzerland,Snowy,Afternoon,Winter,Relaxing,Happiness
Images/0118.png,"Thick pine forests, rolling hills, small villages",Germany,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia
Images/0119.png,"Pillar-like mountains, inspiration for Avatar movie",China,Cloudy,Morning,Winter,Sightseeing,Curiosity
Images/0120.png,Blue ice formations inside a glacier,Iceland,Snowy,Afternoon,Winter,Sightseeing,Curiosity
Images/0121.png,"The Great Pyramids of Giza in Egypt, ancient wonders of the world",Egypt,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0122.png,"The Citadel of Qaitbay in Alexandria, Egypt, a historic fortress on the Mediterranean coast",Egypt,Sunny,Afternoon,Summer,Relaxing,Excitement
Images/0123.png,"The Kaaba in Mecca, Saudi Arabia, the holiest site in Islam",Saudi Arabia,Sunny,Afternoon,Summer,Religious,Happiness
Images/0124.png,"The Dome of the Rock in Jerusalem, a historic Islamic shrine with a golden dome",Palestine,Not Clear,Evening,Not Clear,Religious,Happiness
Images/0125.png,"The blue-domed churches and white-washed buildings of Oia, Santorini, Greece, overlooking the sea",Greece,Cloudy,Evening,Summer,Relaxing,Happiness
Images/0126.png,"A traditional Japanese Torii gate and temple structure illuminated at dusk, suggesting a quiet, spiritual place",Japan,Cloudy,Evening,Fall,Religious,Melancholy
Images/0127.png,"The Eiffel Tower in Paris, France, an iconic landmark and symbol of French culture",France,Snowy,Evening,Winter,Sightseeing,Romance
Images/0128.png,"The Taj Mahal in Agra, India, iconic white marble mausoleum and symbol of love",India,Sunny,Morning,Spring,Sightseeing,Adventure
Images/0129.png,"The Elizabeth Tower (Big Ben) in London, a famous historical clock tower",United Kingdom,Snowy,Evening,Winter,Relaxing,Happiness
Images/0130.png,"The Statue of Liberty in New York City, USA, a symbol of freedom and democracy",United States,Cloudy,Evening,Fall,Sightseeing,Excitement
Images/0131.png,Al-Aqsa Mosque a sacred and historical Islamic site,Palestine,Rainy,Afternoon,Winter,Religious,Nostalgia
Images/0132.png,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,Italy,Sunny,Evening,Summer,Sightseeing,Curiosity
Images/0133.png,Seoul cityscape vibrant city with modern architecture,South Korea,Cloudy,Evening,Spring,Relaxing,Curiosity
Images/0134.png,Eiffel Tower in Paris an iconic landmark in France,France,Sunny,Afternoon,Fall,Sightseeing,Happiness
Images/0135.png,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,Arctic Circle,Snowy,Evening,Winter,Sightseeing,Excitement
Images/0136.png,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,Tunisia,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0137.png,Santorini iconic white houses and blue domes on cliffs overlooking the sea,Greece,Sunny,Afternoon,Spring,Relaxing,Happiness
Images/0138.png,Beach in Thailand with crystal clear water perfect for relaxation and leisure,Thailand,Sunny,Morning,Summer,Relaxing,Adventure
Images/0139.png,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,Maldives,Sunny,Evening,Summer,Relaxing,Excitement
Images/0140.png,Cologne Cathedral in Germany Gothic architecture with intricate details,Germany,Sunny,Morning,Summer,Religious,Curiosity
Images/0141.png,"Daily life in Bali during heavy rainfall, showing a person on a motorcycle in front of a traditional building with decorated roofs. The rain in the image indicates that it's summer in Bali because it rains there during the summer",Indonesia,Rainy,Afternoon,Summer,Sightseeing,Curiosity
Images/0142.png,"Iceland's dramatic coastline: black sand beaches, powerful ocean waves crashing against the rocky cliffs, and the aurora borealis glowing in the sky. When you see the aurora like that, it's definitely Fall the best time to catch this phenomenon",Iceland,Cloudy,Evening,Fall,Relaxing,Adventure
Images/0143.png,Istanbul's iconic Maiden's Tower (Kız Kulesi) standing in the brilliant blue waters of the Bosphorus strait under clear skies,Turkey,Sunny,Afternoon,Spring,Adventure/Sports,Curiosity
Images/0144.png,"Kyoto's traditional pagoda temple illuminated against a colorful sky, surrounded by historic Japanese architecture",Japan,Cloudy,Evening,Fall,Religious,Romance
Images/0145.png,A luxurious Maldives resort with overwater bungalows extending into crystal-clear turquoise lagoons and pristine white sandy beaches,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
Images/0146.png,The iconic Koutoubia Mosque minaret tower rising above traditional Moroccan gardens with palm trees and lush vegetation,Morocco,Cloudy,Afternoon,Summer,Religious,Curiosity
Images/0147.png,The iconic Eiffel Tower visible in the distance along the flooded Seine River during heavy rainfall in Paris,France,Rainy,Afternoon,Spring,Water Activities,Melancholy
Images/0148.png,"The magnificent Treasury (Al-Khazneh) carved into rose-red sandstone cliffs in the ancient city of Petra, with traditional horse carriages in front",Jordan,Sunny,Morning,Spring,Sightseeing,Excitement
Images/0149.png,The iconic white-washed buildings and blue-domed churches of Santorini perched on dramatic cliffs overlooking the deep blue Aegean Sea,Greece,Cloudy,Afternoon,Summer,Water Activities,Romance
Images/0150.png,"A stunning winter scene in the Swiss Alps with snow-covered mountains, frosted forests, and a traditional alpine chalet nestled in pristine white snow",Switzerland,Snowy,Morning,Winter,Adventure/Sports,Adventure
Images/0151.png,"The Court of the Lions in the Alhambra Palace in Granada, showing detailed Islamic arches and a marble fountain with lion statues",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0152.png,"Old stone ruins from the Angkor temple area in Cambodia, with carved walls and tall temple buildings in bright sunlight",Cambodia,Sunny,Afternoon,Summer,Religious,Adventure
Images/0153.png,"The Colosseum in Rome during sunset, with warm golden light illuminating the ancient stone arches",Italy,Sunny,Evening,Fall,Sightseeing,Nostalgia
Images/0154.png,"The Skgafoss waterfall in Iceland, with green cliffs around it and mist rising from the falling water",Iceland,Sunny,Afternoon,Summer,Water Activities,Adventure
Images/0155.png,"The Old City of Jerusalem, featuring the Al-Aqsa Mosque, the golden Dome of the Rock, and the historic stone walls with the modern skyline in the background",Palestine,Sunny,Afternoon,Spring,Religious,Curiosity
Images/0156.png,"A vibrant scene at the Izmir Clock Tower in Konak Square, with palm trees, pigeons, and people enjoying the sunny day around the historic landmark",Turkey,Sunny,Afternoon,Summer,Sightseeing,Happiness
Images/0157.png,"AntarcticaÕs icy mountains rising above the cold ocean, with snowy peaks, glaciers, and pieces of ice floating on the water",Antarctica,Cloudy,Afternoon,Summer,Water Activities,Adventure
Images/0158.png,"Ulun Danu Beratan Temple in Bali, built on small islands on Lake Beratan, surrounded by calm water and green mountains",Indonesia,Cloudy,Afternoon,Not Clear,Religious,Happiness
Images/0159.png,"A busy night scene in Times Square in New York City, with bright signs, yellow taxis, and many people walking on the lit-up streets",United States,Not Clear,Evening,Not Clear,Sightseeing,Excitement
Images/0160.png,"Big Ben and the Palace of Westminster in London, with people and cars crossing Westminster Bridge under a bright blue sky",United Kingdom,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0161.png,The Treasury in Petra carved into the red sandstone cliffs,Jordan,Sunny,Afternoon,Spring,Sightseeing,Adventure
Images/0162.png,Bright red torii gate and main shrine buildings at Fushimi Inari in Kyoto,Japan,Sunny,Afternoon,Spring,Religious,Curiosity
Images/0163.png,Brooklyn Bridge and the New York City skyline at sunset with snow along the riverbank,United States,Snowy,Evening,Winter,Sightseeing,Excitement
Images/0164.png,The Colosseum in Rome on a clear day with people walking around the ancient arena,Italy,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/0165.png,Autumn trees in Greenwich Park with golden and orange leaves and a soft sky in the background,United Kingdom,Cloudy,Afternoon,Fall,Relaxing,Nostalgia
Images/0166.png,Green rice terraces in Bali with palm trees and soft light over the hills,Indonesia,Cloudy,Morning,Summer,Relaxing,Happiness
Images/0167.png,Green northern lights shining across the dark sky above snowy mountains and a still lake in Iceland,Iceland,Snowy,Evening,Winter,Water Activities,Adventure
Images/0168.png,White houses and a busy harbor on a Greek island with clear turquoise water and small boats,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0169.png,"Wet cobblestone street leading to Galata Tower in Istanbul, with people walking between old buildings on a rainy day",Turkey,Rainy,Afternoon,Fall,Sightseeing,Curiosity
Images/0170.png,"A dense coastal city skyline with modern skyscrapers, waterfront piers, boats, and bridges, seen from above with sunlight illuminating the buildings",United States,Sunny,Afternoon,Fall,Water Activities,Nostalgia
Images/0171.png,"Mecca, capturing the spiritual atmosphere of the holy city",Saudi Arabia,Not Clear,Evening,Not Clear,Religious,Happiness
Images/0172.png,"The colorful coastline of Miami, a place I have already visited and really enjoyed",United States,Cloudy,Evening,Summer,Sightseeing,Excitement
Images/0173.png,This image captures the historic and spiritual beauty of Jerusalem,Palestine,Sunny,Evening,Summer,Sightseeing,Nostalgia
Images/0174.png,The hot air balloons over Cappadocia are a sight Ive always wanted to experience. The unique landscape and peaceful sunrise make it a dream destination,Turkey,Sunny,Morning,Spring,Relaxing,Adventure
Images/0175.png,A bright spring morning in Paris with flowers blooming and the Eiffel Tower in view,France,Sunny,Morning,Spring,Sightseeing,Happiness
Images/0176.png,"A calm New York City morning, with buildings rising above the streets and the city slowly coming to life",United States,Cloudy,Morning,Fall,Relaxing,Excitement
Images/0177.png,"A peaceful small-boat tour gliding through the canals of Italy, surrounded by historic architecture and calm waters. I hope to visit this place one day to enjoy its cultural charm",Italy,Sunny,Morning,Summer,Water Activities,Romance
Images/0178.png,"A traditional souk in old Syria filled with narrow lanes, local shops, and historic architecture",Syria,Not Clear,Afternoon,Not Clear,Sightseeing,Melancholy
Images/0179.png,"One of Californias iconic national parks, surrounded by towering cliffs, lush forests, and dramatic natural landscapes",United States,Cloudy,Morning,Fall,Relaxing,Adventure
Images/0180.png,"The Basílica de la Sagrada Família in Barcelona, one of the worlds most famous architectural masterpieces",Spain,Cloudy,Afternoon,Spring,Sightseeing,Curiosity
Images/0181.png,Eiffel Tower glowing at dusk with city lights. Iconic Paris view with romantic evening vibes,France,Not Clear,Evening,Spring,Sightseeing,Romance
Images/0182.png,"The ancient terraces and mountains of Machu Picchu. Iconic Incan site showcasing history, architecture, and breathtaking natural scenery",Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
Images/0183.png,Colorful white-and-blue houses on the cliffs above the sea in Santorini. Famous for its stunning architecture and panoramic ocean views,Greece,Sunny,Afternoon,Summer,Relaxing,Romance
Images/0184.png,Colorful buildings lining the canals of Venice. Venices canals and architecture create a picturesque and unique cityscape,Italy,Sunny,Afternoon,Spring,Sightseeing,Excitement
Images/0185.png,"Overwater bungalows and turquoise water in Bora Bora. Iconic tropical destination known for luxury, relaxation, and stunning natural beauty",French Polynesia,Sunny,Afternoon,Summer,Relaxing,Happiness
Images/0186.png,Snowy mountains and frozen lake in Banff National Park. Banff offers breathtaking alpine scenery and a serene winter landscape,Canada,Snowy,Afternoon,Winter,Water Activities,Adventure
Images/0187.png,Mushers guide a team of dogs racing through snowy forests and open trails. Michigan offers scenic winter landscapes perfect for an exciting dog-sled experience,United States,Snowy,Morning,Winter,Sightseeing,Excitement
